created_at,entry_id,field1,latitude,longitude,elevation,status
2025-03-03T04:35:49+00:00,1,32.13000,,,,
2025-03-03T04:36:14+00:00,2,32.18999,,,,
2025-03-03T04:36:39+00:00,3,32.49001,,,,
2025-03-03T04:37:01+00:00,4,32.49001,,,,
2025-03-03T04:38:26+00:00,5,33.24999,,,,
2025-03-03T04:38:55+00:00,6,32.91000,,,,
2025-03-03T04:39:26+00:00,7,32.46999,,,,
2025-03-03T04:39:49+00:00,8,32.24999,,,,
2025-03-03T04:40:20+00:00,9,32.63000,,,,
2025-03-03T04:40:46+00:00,10,32.39001,,,,
2025-03-03T04:41:53+00:00,11,32.45000,,,,
2025-03-03T04:42:44+00:00,12,32.41000,,,,
2025-03-03T04:43:20+00:00,13,32.63000,,,,
2025-03-03T04:43:36+00:00,14,32.30999,,,,
2025-03-03T04:44:34+00:00,15,32.52999,,,,
2025-03-03T04:44:52+00:00,16,32.49001,,,,
2025-03-03T04:45:21+00:00,17,32.80999,,,,
2025-03-03T04:57:13+00:00,18,32.24999,,,,
2025-03-03T04:57:28+00:00,19,32.13000,,,,
2025-03-03T04:57:44+00:00,20,32.49001,,,,
2025-03-03T04:58:01+00:00,21,31.74999,,,,
2025-03-03T04:58:25+00:00,22,31.77001,,,,
2025-03-03T04:58:45+00:00,23,34.51000,,,,
2025-03-03T04:59:04+00:00,24,34.46999,,,,
2025-03-03T04:59:25+00:00,25,34.42999,,,,
2025-03-03T05:00:07+00:00,26,32.08999,,,,
2025-03-03T05:00:29+00:00,27,32.39001,,,,
2025-03-03T05:00:54+00:00,28,32.52999,,,,
2025-03-03T05:01:09+00:00,29,32.45000,,,,
2025-03-03T05:01:27+00:00,30,32.49001,,,,
2025-03-03T05:02:14+00:00,31,31.83001,,,,
2025-03-03T05:02:38+00:00,32,33.49001,,,,
2025-03-03T06:02:52+00:00,33,26.99002,,,,
2025-03-03T06:03:22+00:00,34,26.92999,,,,
2025-03-03T06:03:37+00:00,35,27.08999,,,,
2025-03-03T06:03:52+00:00,36,26.67001,,,,
2025-03-03T06:04:08+00:00,37,26.97000,,,,
2025-03-03T06:04:26+00:00,38,26.27001,,,,
2025-03-03T06:04:58+00:00,39,25.92999,,,,
2025-03-03T06:05:19+00:00,40,26.42999,,,,
2025-03-03T06:05:47+00:00,41,26.08999,,,,
2025-03-03T06:06:04+00:00,42,25.69000,,,,
2025-03-03T06:06:34+00:00,43,26.23001,,,,
2025-03-03T06:06:51+00:00,44,25.47000,,,,
2025-03-03T06:07:07+00:00,45,26.47000,,,,
2025-03-03T06:07:23+00:00,46,26.85000,,,,
2025-03-03T06:22:57+00:00,47,24.64999,,,,
2025-03-03T06:23:25+00:00,48,25.74999,,,,
2025-03-03T06:23:41+00:00,49,24.64999,,,,
2025-03-03T07:17:49+00:00,50,27.69000,,,,
2025-03-03T07:18:06+00:00,51,23.58999,,,,
2025-03-03T07:18:22+00:00,52,23.39001,,,,
2025-03-03T07:18:39+00:00,53,23.23001,,,,
2025-03-03T07:18:55+00:00,54,23.80999,,,,
2025-03-03T07:19:12+00:00,55,23.41000,,,,
2025-03-03T07:19:28+00:00,56,23.27001,,,,
2025-03-03T07:19:45+00:00,57,23.33001,,,,
2025-03-03T07:20:01+00:00,58,23.57000,,,,
2025-03-03T07:20:18+00:00,59,23.29000,,,,
2025-03-03T07:20:34+00:00,60,23.23001,,,,
2025-03-03T07:20:50+00:00,61,23.20999,,,,
2025-03-03T07:21:06+00:00,62,23.45001,,,,
2025-03-03T07:21:22+00:00,63,23.33001,,,,
2025-03-03T07:21:38+00:00,64,23.39001,,,,
2025-03-03T07:21:54+00:00,65,23.33001,,,,
2025-03-03T07:22:10+00:00,66,23.11001,,,,
2025-03-03T07:22:27+00:00,67,23.08999,,,,
2025-03-03T07:22:43+00:00,68,23.29000,,,,
2025-03-03T07:23:00+00:00,69,23.23001,,,,
2025-03-03T07:23:16+00:00,70,23.23001,,,,
2025-03-03T07:23:33+00:00,71,23.29000,,,,
2025-03-03T07:23:51+00:00,72,23.23001,,,,
2025-03-03T07:24:08+00:00,73,24.17001,,,,
2025-03-03T07:24:24+00:00,74,23.35000,,,,
2025-03-03T07:24:40+00:00,75,23.29000,,,,
2025-03-03T07:24:55+00:00,76,23.33001,,,,
2025-03-03T07:25:11+00:00,77,27.73001,,,,
2025-03-03T07:25:27+00:00,78,23.45001,,,,
2025-03-03T07:25:43+00:00,79,23.70999,,,,
2025-03-03T07:25:59+00:00,80,24.99002,,,,
2025-03-03T07:26:14+00:00,81,24.29000,,,,
2025-03-03T07:26:31+00:00,82,23.41000,,,,
